block_number,trial_type,elements,feedb,figure,colors,change,unique,all,wait,ftime,mtime,stime,tip,tip_time
1,instruction,,,,,,,,,,,,instruction_litery_greckie.txt,-1
1,training,9,1,-1,-1,0,1,1,0,2,1.5,4,,0
1,training,9,1,-1,-1,0,1,1,0,2,1.5,4,,0
1,training,9,1,-1,-1,0,1,1,0,2,1.5,4,,0
1,training,9,1,-1,-1,2,1,1,0,2,1.5,4,,0
1,training,9,1,-1,-1,2,1,1,0,2,1.5,4,,0
1,training,9,1,-1,-1,2,1,1,0,2,1.5,4,,0
2,instruction,,,,,,,,,,,,after_litery_greckie_training.txt,-1
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,6,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,9,0,-1,-1,2,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
2,experiment,12,0,-1,-1,0,1,1,0,2,1.5,4,,0
